,contest,winner,loser,time
0,7963991115850207,83,74,2020-09-04 05:12:16.797000
1,3479758183195416,46,38,2020-09-04 06:18:40.585000
2,4577074609387116,73,74,2020-09-04 06:18:40.585000
3,7434120596579288,71,84,2020-09-04 07:13:22.282000
4,6371005609159026,76,73,2020-09-04 08:28:34.862000
5,639851765691819,77,71,2020-09-04 10:11:30.329000
6,4446223219179860,76,71,2020-09-04 12:15:10.026000
7,572842499849990,78,71,2020-09-04 12:15:10.026000
8,4490595592968360,75,64,2020-09-04 15:20:39.960000
9,6791367567271982,80,80,2020-09-04 15:20:39.960000
10,2433199628456085,68,69,2020-09-04 16:12:37.715000
11,3345565341220112,79,80,2020-09-04 17:16:00.572000
12,5872153215369617,52,44,2020-09-04 17:16:00.572000
13,6808335347545638,72,69,2020-09-04 17:16:00.572000
14,2068388722833327,73,69,2020-09-04 17:16:00.572000
15,8177516668433339,68,68,2020-09-04 17:16:00.572000
16,3275007066516819,73,68,2020-09-04 18:10:58.186000
17,5384387321543762,71,68,2020-09-04 19:13:15.664000
18,849220007160985,72,63,2020-09-04 19:13:15.664000
19,940735534786197,59,58,2020-09-04 19:13:15.664000
20,5152441400061953,50,43,2020-09-04 19:13:15.664000
21,650615427643823,51,46,2020-09-04 20:14:23.723000
22,5926747238761640,74,64,2020-09-04 20:14:23.723000
23,6220389191160466,69,72,2020-09-04 21:16:48.380000
24,5627533523649642,68,71,2020-09-04 21:16:48.380000
25,896725056625938,76,74,2020-09-04 21:16:48.380000
26,5270708201074546,77,73,2020-09-04 21:16:48.380000
27,2122729063621815,68,66,2020-09-04 22:15:54.986000
28,3177928762793022,84,84,2020-09-04 22:15:54.986000
29,2451409763846309,48,45,2020-09-04 22:15:54.986000
30,3318310705599018,79,72,2020-09-04 22:15:54.986000
31,4552289108440191,82,79,2020-09-04 22:15:54.986000
32,8228888642437991,59,56,2020-09-04 23:25:23.740000
33,3850335982198742,49,44,2020-09-04 23:25:23.740000
34,3973785915481251,72,69,2020-09-04 23:25:23.740000
35,6057270333012562,83,84,2020-09-04 23:25:23.740000
36,3962560166139811,61,70,2020-09-04 23:25:23.740000
37,4974694512504509,60,48,2020-09-04 23:25:23.740000
38,5301803624239999,44,49,2020-09-04 23:25:23.740000
39,6878361232012400,59,48,2020-09-04 23:25:23.740000
40,4388869926034034,80,94,2020-09-05 00:16:20.014000
41,591015081570613,77,82,2020-09-05 00:16:20.014000
42,6109239683681789,70,70,2020-09-05 00:16:20.014000
43,5400848801266651,59,48,2020-09-05 01:19:42.089000
44,1988812158538781,56,51,2020-09-05 01:19:42.089000
45,3818758721592720,65,29,2020-09-05 01:19:42.089000
46,53692187325467,68,69,2020-09-05 01:19:42.089000
47,2127993612872388,58,54,2020-09-05 02:21:36.154000
48,784447329533548,78,73,2020-09-05 02:21:36.154000
49,4420209158090682,80,92,2020-09-05 02:21:36.154000
50,627663702883315,62,58,2020-09-05 02:21:36.154000
51,1710846054878083,60,58,2020-09-05 02:21:36.154000
52,2323667749870536,53,52,2020-09-05 02:21:36.154000
53,4296888016085933,43,45,2020-09-05 02:21:36.154000
54,4879362612328959,51,50,2020-09-05 02:21:36.154000
55,940511997397549,71,72,2020-09-05 03:19:59.542000
56,1300994592253545,43,45,2020-09-05 03:19:59.542000
57,310158007074621,57,58,2020-09-05 03:19:59.542000
58,3139399201059674,60,61,2020-09-05 03:19:59.542000
59,5815339492808360,47,48,2020-09-05 03:19:59.542000
60,955485096552972,62,59,2020-09-05 03:19:59.542000
61,8408575646450700,78,88,2020-09-05 04:21:30.543000
62,7735679321167937,43,49,2020-09-05 04:21:30.543000
63,3484087149431793,58,61,2020-09-05 04:21:30.543000
64,1039272378051915,92,69,2020-09-05 04:21:30.543000
65,1987170116570811,66,59,2020-09-05 04:21:30.543000
66,7472955528010853,53,53,2020-09-05 04:21:30.543000
67,2228930483163165,74,70,2020-09-05 04:21:30.543000
68,2510422676267468,70,71,2020-09-05 04:21:30.543000
69,2900823049874526,52,47,2020-09-05 04:21:30.543000
70,234120753575205,63,59,2020-09-05 05:04:08.325000
71,6108891660261370,74,79,2020-09-05 05:04:08.325000
72,6510573621241318,58,53,2020-09-05 05:04:08.325000
73,6768590194852427,53,56,2020-09-05 05:04:08.325000
74,918757994590903,36,47,2020-09-05 05:04:08.325000
75,1039607296538526,74,68,2020-09-05 05:04:08.325000
76,7162547034375317,72,69,2020-09-05 05:04:08.325000
